repo_full_name,total_pkgs,total_vulns,kev_count,kev_rate,scan_at
bootboxjs/bootbox,673,145,2,0.013793,2026-03-02T11:32:08.879220+00:00
bowser-js/bowser,902,193,0,0.0,2026-03-02T11:32:08.879220+00:00
btford/write-good,332,59,0,0.0,2026-03-02T11:32:08.879220+00:00
caolan/async,764,148,0,0.0,2026-03-02T11:32:08.879220+00:00
catamphetamine/react-phone-number-input,974,162,0,0.0,2026-03-02T11:32:08.879220+00:00
cazala/synaptic,449,99,0,0.0,2026-03-02T11:32:08.879220+00:00
ccampbell/mousetrap,222,64,0,0.0,2026-03-02T11:32:08.879220+00:00
cferdinandi/smooth-scroll,345,50,0,0.0,2026-03-02T11:32:08.879220+00:00
chavyleung/scripts,89,44,0,0.0,2026-03-02T11:32:08.879220+00:00
chrisleekr/binance-trading-bot,1081,151,0,0.0,2026-03-02T11:32:08.879220+00:00
chrisvfritz/prerender-spa-plugin,589,109,1,0.009174,2026-03-02T11:32:08.879220+00:00
codecombat/codecombat,2143,280,1,0.003571,2026-03-02T11:32:08.879220+00:00
commitizen/cz-cli,884,139,0,0.0,2026-03-02T11:32:08.879220+00:00
coryhouse/react-slingshot,1127,218,0,0.0,2026-03-02T11:32:08.879220+00:00
crsnbrt/keysim,1850,235,0,0.0,2026-03-02T11:32:08.879220+00:00
cryptpad/cryptpad,477,129,1,0.007752,2026-03-02T11:32:08.879220+00:00
csstools/postcss-font-magician,16,5,0,0.0,2026-03-02T11:32:08.879220+00:00
cure53/DOMPurify,798,131,1,0.007634,2026-03-02T11:32:08.879220+00:00
cytoscape/cytoscape.js,675,122,0,0.0,2026-03-02T11:32:08.879220+00:00
dagrejs/dagre,403,48,0,0.0,2026-03-02T11:32:08.879220+00:00
danburzo/percollate,541,79,1,0.012658,2026-03-02T11:32:08.879220+00:00
dat-ecosystem/dat,584,81,0,0.0,2026-03-02T11:32:08.879220+00:00
dataarts/dat.gui,593,115,0,0.0,2026-03-02T11:32:08.879220+00:00
davidjbradshaw/iframe-resizer,1352,196,2,0.010204,2026-03-02T11:32:08.879220+00:00
dc-js/dc.js,811,202,1,0.00495,2026-03-02T11:32:08.879220+00:00
denysdovhan/bash-handbook,169,27,0,0.0,2026-03-02T11:32:08.879220+00:00
depcheck/depcheck,565,70,0,0.0,2026-03-02T11:32:08.879220+00:00
dequelabs/axe-core,1019,187,1,0.005348,2026-03-02T11:32:08.879220+00:00
desandro/imagesloaded,129,32,1,0.03125,2026-03-02T11:32:08.879220+00:00
designmodo/Flat-UI,837,164,0,0.0,2026-03-02T11:32:08.879220+00:00
dessant/buster,1566,189,0,0.0,2026-03-02T11:32:08.879220+00:00
developit/microbundle,1125,122,0,0.0,2026-03-02T11:32:08.879220+00:00
developit/redaxios,1417,183,1,0.005464,2026-03-02T11:32:08.879220+00:00
developit/unfetch,797,79,0,0.0,2026-03-02T11:32:08.879220+00:00
devxprite/infoooze,350,79,0,0.0,2026-03-02T11:32:08.879220+00:00
dherault/serverless-offline,802,124,0,0.0,2026-03-02T11:32:08.879220+00:00
di-sukharev/opencommit,580,100,0,0.0,2026-03-02T11:32:08.879220+00:00
dice2o/BingGPT,484,109,2,0.018349,2026-03-02T11:32:08.879220+00:00
digitalocean/nginxconfig.io,1390,176,0,0.0,2026-03-02T11:32:08.879220+00:00
dimsemenov/PhotoSwipe,338,59,0,0.0,2026-03-02T11:32:08.879220+00:00
distillpub/template,379,98,0,0.0,2026-03-02T11:32:08.879220+00:00
documentationjs/documentation,745,95,0,0.0,2026-03-02T11:32:08.879220+00:00
dotenvx/dotenvx,751,112,0,0.0,2026-03-02T11:32:08.879220+00:00
draios/sysdig-inspect,1476,206,1,0.004854,2026-03-02T11:32:08.879220+00:00
dropbox/dropbox-sdk-js,675,138,0,0.0,2026-03-02T11:32:08.879220+00:00
dscalzi/HeliosLauncher,437,114,3,0.026316,2026-03-02T11:32:08.879220+00:00
dtjohnson/xlsx-populate,804,158,0,0.0,2026-03-02T11:32:08.879220+00:00
duxianwei520/react,1327,234,0,0.0,2026-03-02T11:32:08.879220+00:00
dyatko/arkit,816,100,0,0.0,2026-03-02T11:32:08.879220+00:00
dylang/npm-check,973,93,0,0.0,2026-03-02T11:32:08.879220+00:00
dzoba/gptrpg,29,15,0,0.0,2026-03-02T11:32:08.879220+00:00
electerm/electerm,1033,199,3,0.015075,2026-03-02T11:32:08.879220+00:00
electron/minimal-repro,73,31,2,0.064516,2026-03-02T11:32:08.879220+00:00
emn178/js-sha256,179,39,0,0.0,2026-03-02T11:32:08.879220+00:00
entropic-dev/entropic,261,52,0,0.0,2026-03-02T11:32:08.879220+00:00
eslint-community/eslint-plugin-promise,583,46,0,0.0,2026-03-02T11:32:08.879220+00:00
evolus/pencil,365,104,2,0.019231,2026-03-02T11:32:08.879220+00:00
eyaltoledano/claude-task-master,2134,290,2,0.006897,2026-03-02T11:32:08.879220+00:00
facebook/create-react-app,2126,259,1,0.003861,2026-03-02T11:32:08.879220+00:00
faisalman/ua-parser-js,317,67,0,0.0,2026-03-02T11:32:08.879220+00:00
fengyuanchen/cropper,924,148,2,0.013514,2026-03-02T11:32:08.879220+00:00
fengyuanchen/viewerjs,1005,137,1,0.007299,2026-03-02T11:32:08.879220+00:00
filamentgroup/loadCSS,283,65,1,0.015385,2026-03-02T11:32:08.879220+00:00
floccusaddon/floccus,1268,167,0,0.0,2026-03-02T11:32:08.879220+00:00
flot/flot,822,146,0,0.0,2026-03-02T11:32:08.879220+00:00
flutterchina/flutter-in-action,38,6,0,0.0,2026-03-02T11:32:08.879220+00:00
forwardemail/supertest,572,89,0,0.0,2026-03-02T11:32:08.879220+00:00
framework7io/framework7,1104,142,1,0.007042,2026-03-02T11:32:08.879220+00:00
francisrstokes/super-expressive,200,49,0,0.0,2026-03-02T11:32:08.879220+00:00
gchq/CyberChef,1400,276,1,0.003623,2026-03-02T11:32:08.879220+00:00
gibber-cc/gibber,747,112,0,0.0,2026-03-02T11:32:08.879220+00:00
gildas-lormeau/SingleFile,125,29,0,0.0,2026-03-02T11:32:08.879220+00:00
git-tips/tips,31,3,0,0.0,2026-03-02T11:32:08.879220+00:00
github/awesome-copilot,73,19,0,0.0,2026-03-02T11:32:08.879220+00:00
givanz/VvvebJs,555,93,0,0.0,2026-03-02T11:32:08.879220+00:00
glenjamin/ultimate-hot-reloading-example,668,123,0,0.0,2026-03-02T11:32:08.879220+00:00
glidejs/glide,646,78,0,0.0,2026-03-02T11:32:08.879220+00:00
goabstract/Awesome-Design-Tools,184,70,0,0.0,2026-03-02T11:32:08.879220+00:00
golden-layout/golden-layout,721,166,0,0.0,2026-03-02T11:32:08.879220+00:00
goofychris/art-template,543,122,0,0.0,2026-03-02T11:32:08.879220+00:00
gorhill/uBlock,92,24,0,0.0,2026-03-02T11:32:08.879220+00:00
gpujs/gpu.js,641,140,0,0.0,2026-03-02T11:32:08.879220+00:00
graphql/graphql-spec,157,32,0,0.0,2026-03-02T11:32:08.879220+00:00
greatsuspender/thegreatsuspender,322,57,0,0.0,2026-03-02T11:32:08.879220+00:00
gsd-build/get-shit-done,82,15,0,0.0,2026-03-02T11:32:08.879220+00:00
guidone/node-red-contrib-chatbot,2229,327,0,0.0,2026-03-02T11:32:08.879220+00:00
h5bp/html5-boilerplate,360,64,0,0.0,2026-03-02T11:32:08.879220+00:00
hackmdio/codimd,1981,350,1,0.002857,2026-03-02T11:32:08.879220+00:00
hakimel/reveal.js,716,119,1,0.008403,2026-03-02T11:32:08.879220+00:00
heyman/heynote,847,160,3,0.01875,2026-03-02T11:32:08.879220+00:00
highlightjs/highlight.js,423,97,0,0.0,2026-03-02T11:32:08.879220+00:00
hound-search/hound,624,110,0,0.0,2026-03-02T11:32:08.879220+00:00
hubotio/hubot,82,27,0,0.0,2026-03-02T11:32:08.879220+00:00
humanwhocodes/computer-science-in-javascript,127,39,0,0.0,2026-03-02T11:32:08.879220+00:00
i18next/i18next-browser-languageDetector,825,114,0,0.0,2026-03-02T11:32:08.879220+00:00
i18next/react-i18next,815,105,1,0.009524,2026-03-02T11:32:08.879220+00:00
iamkun/dayjs,1602,277,0,0.0,2026-03-02T11:32:08.879220+00:00
illuspas/Node-Media-Server,190,59,0,0.0,2026-03-02T11:32:08.879220+00:00
imba/imba,534,112,0,0.0,2026-03-02T11:32:08.879220+00:00
imfunniee/gitfolio,171,76,0,0.0,2026-03-02T11:32:08.879220+00:00
imgix/imgix.js,1085,174,1,0.005747,2026-03-02T11:32:08.879220+00:00
impress/impress.js,498,104,1,0.009615,2026-03-02T11:32:08.879220+00:00
indexeddbshim/IndexedDBShim,1287,116,0,0.0,2026-03-02T11:32:08.879220+00:00
infernojs/inferno,1195,150,0,0.0,2026-03-02T11:32:08.879220+00:00
ipfs/awesome-ipfs,870,132,0,0.0,2026-03-02T11:32:08.879220+00:00
istanbuljs/nyc,721,100,0,0.0,2026-03-02T11:32:08.879220+00:00
jackmoore/autosize,404,51,0,0.0,2026-03-02T11:32:08.879220+00:00
jackocnr/intl-tel-input,1171,162,2,0.012346,2026-03-02T11:32:08.879220+00:00
jagenjo/litegraph.js,659,92,0,0.0,2026-03-02T11:32:08.879220+00:00
jakearchibald/svgomg,820,95,0,0.0,2026-03-02T11:32:08.879220+00:00
jakesgordon/javascript-state-machine,469,73,0,0.0,2026-03-02T11:32:08.879220+00:00
jalaali/moment-jalaali,162,45,0,0.0,2026-03-02T11:32:08.879220+00:00
jaredhanson/passport-http-bearer,27,15,0,0.0,2026-03-02T11:32:08.879220+00:00
jaredreich/notie,718,129,0,0.0,2026-03-02T11:32:08.879220+00:00
jaredreich/pell,615,99,0,0.0,2026-03-02T11:32:08.879220+00:00
jashkenas/backbone,330,106,0,0.0,2026-03-02T11:32:08.879220+00:00
jashkenas/underscore,895,153,0,0.0,2026-03-02T11:32:08.879220+00:00
javve/list.js,576,88,1,0.011364,2026-03-02T11:32:08.879220+00:00
jcc/v-distpicker,388,84,1,0.011905,2026-03-02T11:32:08.879220+00:00
jdan/tota11y,701,186,1,0.005376,2026-03-02T11:32:08.879220+00:00
jerosoler/Drawflow,1104,172,0,0.0,2026-03-02T11:32:08.879220+00:00
jezen/is-thirteen,279,55,0,0.0,2026-03-02T11:32:08.879220+00:00
jfhbrook/node-ecstatic,301,86,0,0.0,2026-03-02T11:32:08.879220+00:00
jhuckaby/Cronicle,294,85,1,0.011765,2026-03-02T11:32:08.879220+00:00
jimhigson/oboe.js,964,191,0,0.0,2026-03-02T11:32:08.879220+00:00
joaonuno/tree-model-js,352,93,0,0.0,2026-03-02T11:32:08.879220+00:00
